Название,Модель,ID груза,Дата,Время погрузки,Время отгрузки,Производитель
Арматура,"Арматура гладкая круг ГОСТ 5781-82,2590-88 сталь ст.3сп диаметр 6",1234,09/02/21,5:20:06 PM,17:20:49,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1235,09/02/21,5:20:21 PM,17:21:04,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1236,09/02/21,5:20:36 PM,17:21:19,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1237,09/02/21,5:20:50 PM,17:21:33,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1238,09/02/21,5:21:05 PM,17:21:48,"ООО ""ЧерметПрокат"""
Арматура,"Арматура рифленая, периодический профиль круг ГОСТ 14-1-5254-2006 сталь ст.А500С диаметр 8",1239,09/02/21,5:21:20 PM,17:22:03,"ООО ""ЧерметПрокат"""
Электронный измеритель низкого давления,ОВЕН ПД150,1240,09/02/21,6:01:52 PM,18:02:35,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1241,09/02/21,6:02:07 PM,18:02:45,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1242,09/02/21,6:02:21 PM,18:02:59,"АРК ""Энергосервис"""
Электронный измеритель низкого давления,ОВЕН ПД150,1243,09/02/21,6:02:36 PM,18:03:14,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1244,09/02/21,6:02:51 PM,18:03:29,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1245,09/02/21,6:03:05 PM,18:03:43,"АРК ""Энергосервис"""
Тягонапоромер,ТНМП-100,1246,09/02/21,6:03:20 PM,18:03:58,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1247,09/02/21,6:03:35 PM,18:04:13,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1248,09/02/21,6:03:50 PM,18:04:28,"АРК ""Энергосервис"""
Цифровое устройство индикации,АДИ-01.3,1249,09/02/21,6:04:04 PM,18:04:42,"АРК ""Энергосервис"""
